Date,Close,High,Low,Market Cap,Open,Volume
2017-01-19,8.99,8.99,7.7,,8.94,10779
2017-01-20,2.6,31.88,0.896069,405075.0,8.98,22802
2017-01-21,1.38,3.02,0.736317,163697.0,2.42,29111
2017-01-22,0.8322149999999999,1.82,0.8276680000000001,93644.0,1.38,14630
2017-01-23,0.921012,1.09,0.826105,56391.0,0.832958,2876
2017-01-24,1.61,1.84,0.90085,61653.0,0.9106770000000001,28184
2017-01-25,1.05,1.79,0.8868229999999999,108689.0,1.61,22357
2017-01-26,1.01,1.46,0.90536,70864.0,1.05,3800
2017-01-27,0.91975,1.2,0.916969,68390.0,1.01,2828
2017-01-28,1.01,1.02,0.828527,62271.0,0.919811,801
2017-01-29,0.9194959999999999,1.11,0.919148,68660.0,1.01,1388
2017-01-30,0.8284360000000001,1.0,0.8284360000000001,62294.0,0.920151,222
2017-01-31,1.06,1.06,0.8289549999999999,56120.0,0.8289549999999999,1124
2017-02-01,0.988044,1.07,0.8806379999999999,71635.0,1.06,1040
2017-02-02,1.04,1.67,0.8950549999999999,66957.0,0.9890209999999999,8585
2017-02-03,1.06,1.06,1.01,70531.0,1.04,920
2017-02-04,1.07,1.08,0.830916,71895.0,1.06,3383
2017-02-05,1.05,1.07,0.8229790000000001,72727.0,1.07,722
2017-02-06,1.05,1.06,0.9345,71015.0,1.05,1315
2017-02-07,1.31,1.31,0.9435100000000001,71122.0,1.05,3563
2017-02-08,1.06,1.67,0.8276370000000001,88581.0,1.31,3682
2017-02-09,0.497188,1.09,0.44778900000000005,72080.0,1.06,3150
2017-02-10,0.47981899999999994,0.499449,0.471717,33702.0,0.497813,4098
2017-02-11,0.502225,0.504645,0.461642,32491.0,0.47992799999999997,1287
2017-02-12,0.49959,0.50238,0.45631099999999997,33969.0,0.50176,844
2017-02-13,0.45630600000000004,0.50105,0.45590200000000003,33812.0,0.499442,664
2017-02-14,0.502275,0.503195,0.45677,30926.0,0.45681000000000005,78
2017-02-15,0.50374,0.50442,0.50079,34060.0,0.503105,20
2017-02-16,0.51371,0.516675,0.464269,34109.0,0.503825,743
2017-02-17,0.523105,0.5265850000000001,0.311985,34734.0,0.51305,109
2017-02-18,0.5272100000000001,0.53055,0.472815,35516.0,0.524605,144
2017-02-19,0.482786,0.528405,0.48272200000000004,35704.0,0.5273800000000001,53
2017-02-20,0.53999,0.540245,0.32396199999999997,32710.0,0.48316400000000004,98
2017-02-21,0.55765,0.558625,0.538465,36534.0,0.53964,231
2017-02-22,0.55872,0.562695,0.36889299999999997,37736.0,0.5574,384
2017-02-23,0.6479,0.653397,0.55848,37820.0,0.558635,243
2017-02-24,0.609391,0.666743,0.6044729999999999,44089.0,0.651241,410
2017-02-25,0.57192,0.608137,0.562295,41137.0,0.607629,217
2017-02-26,0.5826,0.583735,0.5651,38734.0,0.5721350000000001,71
2017-02-27,0.589985,0.59099,0.525147,39394.0,0.58189,14
2017-02-28,0.589985,0.593555,0.536471,39967.0,0.59036,223
2017-03-01,0.83616,0.83616,0.589835,39944.0,0.59002,1102
2017-03-02,0.87516,0.896785,0.7933439999999999,56709.0,0.837651,917
2017-03-03,0.773925,1.42,0.635145,59234.0,0.87495,2162
2017-03-04,0.62757,0.779066,0.615,52495.0,0.775406,726
2017-03-05,0.63356,0.633645,0.619024,42457.0,0.6271399999999999,424
2017-03-06,0.8269299999999999,0.827183,0.591642,42904.0,0.633735,1605
2017-03-07,0.755382,0.832455,0.6372,56000.0,0.827177,970
2017-03-08,0.9960450000000001,1.04,0.7531439999999999,51126.0,0.755191,1079
2017-03-09,0.820011,1.0,0.811082,67453.0,0.996348,364
2017-03-10,0.823785,0.826565,0.8206110000000001,55555.0,0.8206110000000001,1
2017-03-11,0.587915,1.01,0.540987,52832.0,0.780382,851
2017-03-12,0.61069,0.61138,0.554894,39829.0,0.58831,1011
2017-03-13,0.566824,0.618685,0.56526,41357.0,0.6108899999999999,215
2017-03-14,0.5695060000000001,0.61474,0.556264,38382.0,0.5669350000000001,619
2017-03-15,0.5016,0.592441,0.496792,38561.0,0.569579,120
2017-03-16,0.443341,0.6225350000000001,0.43812,34005.0,0.50229,284
2017-03-17,0.514018,0.573444,0.40676799999999996,29821.0,0.440486,15
2017-03-18,0.31196799999999997,0.546225,0.30014,34782.0,0.513766,534
2017-03-19,0.31101599999999996,0.350065,0.29736999999999997,21183.0,0.31290100000000004,1055
2017-03-20,0.316269,0.318909,0.311004,21066.0,0.311166,74
2017-03-21,0.230837,0.33024000000000003,0.225967,21434.0,0.316608,431
2017-03-22,0.314742,0.315945,0.219257,15629.0,0.23085999999999998,13
2017-03-23,0.29694699999999996,0.315915,0.282066,21327.0,0.315015,36
2017-03-24,0.206806,0.30575,0.20610900000000001,20101.0,0.29690700000000003,7
2017-03-25,0.219577,0.286206,0.174374,13986.0,0.20659,110
2017-03-26,0.25299699999999997,0.451463,0.214234,14884.0,0.219856,131
2017-03-27,0.432039,0.432299,0.200276,17222.0,0.254392,156
2017-03-28,0.418839,0.43980699999999995,0.308319,29216.0,0.431547,14
2017-03-29,0.415894,0.42203100000000004,0.302615,28326.0,0.418411,5
2017-03-30,0.23402399999999998,0.41962200000000005,0.228537,28217.0,0.41678999999999994,86
2017-03-31,0.267947,0.310686,0.234071,15847.0,0.234071,4
2017-04-01,0.270125,0.27293,0.26527199999999995,18139.0,0.26792699999999997,39
2017-04-02,0.22043400000000002,0.270232,0.21631599999999998,18289.0,0.27015300000000003,137
2017-04-03,0.331705,0.333855,0.22059,14934.0,0.22059,34
2017-04-04,0.301894,0.334538,0.22668000000000002,22490.0,0.332201,43
2017-04-05,0.194641,0.302182,0.046079,20454.0,0.302131,545
2017-04-06,0.20326,0.204238,0.057333,13189.0,0.19482,171
2017-04-07,0.089435,0.214721,0.068345,13717.0,0.202618,227
2017-04-08,0.195493,0.245112,0.060108,6033.0,0.089112,24
2017-04-09,0.16003499999999998,0.221953,0.117191,13242.0,0.195596,39
2017-04-10,0.154327,0.234539,0.15357300000000002,10829.0,0.159958,0
2017-04-11,0.120501,0.154921,0.120277,10451.0,0.15437,1
2017-04-12,0.23933800000000002,0.288545,0.080313,8157.0,0.12048099999999999,70
2017-04-13,0.14613099999999998,0.248865,0.113073,16212.0,0.239468,13
2017-04-14,0.210157,0.211473,0.11875699999999999,9902.0,0.14626199999999998,28
2017-04-15,0.140402,0.228527,0.14039000000000001,14225.0,0.210114,16
2017-04-16,0.219317,0.219957,0.124357,9506.0,0.140413,15
2017-04-17,0.147054,0.21941300000000002,0.14443499999999998,14852.0,0.219375,34
2017-04-18,0.149169,0.149275,0.147037,9954.0,0.147037,2
2017-04-20,0.208722,0.210711,0.206048,13950.0,0.206048,15
2017-04-21,0.2084,0.209887,0.20838800000000002,14134.0,0.20878000000000002,15
2017-04-22,0.209169,0.209814,0.209169,14204.0,0.209814,1
2017-04-23,0.15046700000000002,0.209252,0.070643,14163.0,0.20920500000000003,165
2017-04-24,0.12501500000000002,0.22464499999999998,0.122741,10207.0,0.150768,66
2017-04-25,0.126655,0.12675799999999998,0.124997,8466.0,0.12504500000000002,1
2017-04-26,0.17338800000000001,0.190065,0.07457000000000001,12867.0,0.190065,58
2017-04-27,0.21081,0.218574,0.171525,11746.0,0.173496,9
2017-04-28,0.20969699999999997,0.21297800000000003,0.207564,14272.0,0.210812,1
2017-04-29,0.290773,0.31764499999999996,0.290713,21505.0,0.31764499999999996,5
2017-04-30,0.13592100000000001,0.29087399999999997,0.133423,19687.0,0.29079,9
2017-05-01,0.110078,0.21930700000000003,0.10725699999999999,9205.0,0.135963,68
2017-05-02,0.145427,0.14543399999999998,0.10962000000000001,7449.0,0.11003399999999999,98
2017-05-03,0.168724,0.23974299999999998,0.133285,9852.0,0.145523,69
2017-05-04,0.245596,0.245596,0.168795,11427.0,0.168795,34
2017-05-05,0.130673,0.257846,0.13031900000000002,16661.0,0.24610700000000002,103
2017-05-06,0.21312199999999998,0.21312199999999998,0.128619,8854.0,0.13078800000000002,24
2017-05-07,0.131427,0.21390900000000002,0.10032100000000001,14435.0,0.213213,51
2017-05-08,0.122358,0.135965,0.10528699999999999,8899.0,0.131444,65
2017-05-09,0.100424,0.124833,0.09754299999999999,8286.0,0.122396,59
2017-05-10,0.06768500000000001,0.100716,0.067274,6803.0,0.100491,12
2017-05-11,0.071096,0.071595,0.067065,4590.0,0.06780599999999999,1
2017-05-12,0.11871300000000001,0.12643,0.057990999999999994,8543.0,0.126191,30
2017-05-13,0.120728,0.121857,0.112877,8020.0,0.118467,24
2017-05-15,0.298528,0.30159400000000003,0.042952,2929.0,0.043269999999999996,6
2017-05-16,0.182615,0.298297,0.12643,20180.0,0.298086,179
2017-05-17,0.18946400000000002,0.19077,0.180645,12360.0,0.182566,1
2017-05-18,0.196938,0.19728099999999998,0.188875,12820.0,0.189363,6
2017-05-19,0.202828,0.20438199999999998,0.197052,13340.0,0.197052,6
2017-05-20,0.213869,0.213981,0.20486300000000002,14073.0,0.207866,46
2017-05-21,0.212412,0.21822199999999997,0.20875,14474.0,0.213792,88
2017-05-22,0.22056399999999998,0.23510999999999999,0.211367,14429.0,0.213126,73
2017-05-23,0.237193,0.238211,0.220241,14910.0,0.220241,56
2017-05-24,0.098025,0.433252,0.07915,16077.0,0.237479,670
2017-05-25,0.183779,0.203014,0.07447000000000001,6624.0,0.09784,92
2017-05-26,0.08092,0.20591399999999999,0.073033,12351.0,0.18243,20
2017-05-27,0.06614400000000001,0.083621,0.064631,5496.0,0.081188,7
2017-05-28,0.377375,0.38069400000000003,0.06654,4505.0,0.06654,150
2017-05-29,0.197897,0.38164699999999996,0.196579,25497.0,0.37661100000000003,105
2017-05-30,0.130895,0.262468,0.129374,13413.0,0.198127,22
2017-05-31,0.185084,0.187253,0.131301,8896.0,0.131408,233
2017-06-01,0.1647,0.190976,0.047705000000000004,12541.0,0.185248,304
2017-06-02,0.16151,0.167127,0.13908099999999998,11155.0,0.164774,13
2017-06-03,0.155995,0.161602,0.046286,10929.0,0.161439,206
2017-06-04,0.201006,0.202809,0.15171199999999999,10532.0,0.155574,0
2017-06-05,0.100324,0.2039,0.056088,13611.0,0.201042,40
2017-06-06,0.153679,0.15498599999999998,0.047777999999999994,6813.0,0.100628,117
2017-06-07,0.13386099999999998,0.163698,0.13147999999999999,10407.0,0.153718,36
2017-06-08,0.099463,0.139923,0.098288,9108.0,0.134534,56
2017-06-09,0.356923,0.357072,0.098866,6723.0,0.09930599999999999,1376
2017-06-10,0.420731,0.796281,0.329189,24200.0,0.357459,4693
2017-06-11,0.372291,0.5344979999999999,0.350831,36139.0,0.533816,934
2017-06-12,0.141204,0.387422,0.13460899999999998,25171.0,0.371797,1079
2017-06-13,0.33869299999999997,0.340432,0.140732,9528.0,0.140732,1553
2017-06-14,0.256871,0.339341,0.225135,22916.0,0.338495,274
2017-06-15,0.297066,0.29825999999999997,0.19159,17389.0,0.25686,431
2017-06-16,0.323251,0.325123,0.23847,20097.0,0.29684699999999997,89
2017-06-17,0.307155,0.323251,0.24980100000000002,21884.0,0.323251,47
2017-06-18,0.245429,0.307155,0.245429,20794.0,0.307155,16
2017-06-19,0.11928499999999999,0.24605300000000002,0.11681199999999999,16616.0,0.245429,117
2017-06-20,0.19984000000000002,0.246029,0.11280599999999999,8076.0,0.11928499999999999,59
2017-06-21,0.294823,0.294823,0.19984000000000002,13529.0,0.19984000000000002,20
2017-06-22,0.348472,0.45236400000000004,0.245854,19960.0,0.294823,287
2017-06-23,0.307236,0.49549,0.14247100000000001,23592.0,0.348472,1434
2017-06-24,0.179394,0.362036,0.15980899999999998,20798.0,0.307201,1086
2017-06-25,0.139818,0.185496,0.138905,12117.0,0.178983,111
2017-06-26,0.26297600000000004,0.398534,0.18845599999999998,13294.0,0.196358,524
